# cobalt, G_ep from spin-resolved DFT, sum of majo and mino G_ep, calculations by Jan Vorberger
# T [K] 	   G_ep [W/(m^3K)]
   3.2425000e+02   1.6304714e+18
   3.4850000e+02   1.6427655e+18
   3.7275000e+02   1.6533461e+18
   3.9700000e+02   1.6632453e+18
   4.2125000e+02   1.6723438e+18
   4.4550000e+02   1.6807448e+18
   4.6975000e+02   1.6885559e+18
   4.9400000e+02   1.6947417e+18
   5.1825000e+02   1.7026835e+18
   5.4250000e+02   1.7091124e+18
   5.6675000e+02   1.7153349e+18
   5.9100000e+02   1.7214940e+18
   6.1525000e+02   1.7272209e+18
   6.3950000e+02   1.7291863e+18
   6.6375000e+02   1.7383162e+18
   6.8800000e+02   1.7437927e+18
   7.1225000e+02   1.7492457e+18
   7.3650000e+02   1.7545029e+18
   7.6075000e+02   1.7600435e+18
   7.8500000e+02   1.7656824e+18
   8.0925000e+02   1.7716014e+18
   8.3350000e+02   1.7781014e+18
   8.5775000e+02   1.7835782e+18
   8.8200000e+02   1.7901577e+18
   9.0625000e+02   1.7976869e+18
   9.3050000e+02   1.8027932e+18
   9.5475000e+02   1.8099055e+18
   9.7900000e+02   1.8170131e+18
   1.0032500e+03   1.8244892e+18
   1.0275000e+03   1.8322575e+18
   1.0517500e+03   1.8402913e+18
   1.0760000e+03   1.8468385e+18
   1.1002500e+03   1.8573175e+18
   1.1245000e+03   1.8545842e+18
   1.1487500e+03   1.8755301e+18
   1.1730000e+03   1.8851433e+18
   1.1972500e+03   1.8950695e+18
   1.2215000e+03   1.9054118e+18
   1.2457500e+03   1.9159573e+18
   1.2700000e+03   1.9268176e+18
   1.2942500e+03   1.9379005e+18
   1.3185000e+03   1.9494444e+18
   1.3427500e+03   1.9608582e+18
   1.3670000e+03   1.9730963e+18
   1.3912500e+03   1.9855329e+18
   1.4155000e+03   1.9981504e+18
   1.4397500e+03   2.0110564e+18
   1.4640000e+03   2.0243340e+18
   1.4882500e+03   2.0377714e+18
   1.5125000e+03   2.0289784e+18
   1.5367500e+03   2.0655095e+18
   1.5610000e+03   2.0773193e+18
   1.5852500e+03   2.0941748e+18
   1.6095000e+03   2.1088602e+18
   1.6337500e+03   2.1237644e+18
   1.6580000e+03   2.1390319e+18
   1.6822500e+03   2.1541267e+18
   1.7065000e+03   2.1697772e+18
   1.7307500e+03   2.1853755e+18
   1.7550000e+03   2.1997788e+18
   1.7792500e+03   2.2170214e+18
   1.8035000e+03   2.2328457e+18
   1.8277500e+03   2.2494595e+18
   1.8520000e+03   2.2649959e+18
   1.8762500e+03   2.2817308e+18
   1.9005000e+03   2.2981731e+18
   1.9247500e+03   2.3156883e+18
   1.9490000e+03   2.3311366e+18
   1.9732500e+03   2.3477140e+18
   1.9975000e+03   2.3643983e+18
   2.0217500e+03   2.3812385e+18
   2.0460000e+03   2.3998325e+18
   2.0702500e+03   2.4150646e+18
   2.0945000e+03   2.4184578e+18
   2.1187500e+03   2.4469694e+18
   2.1430000e+03   2.4659678e+18
   2.1672500e+03   2.4830197e+18
   2.1915000e+03   2.5001007e+18
   2.2157500e+03   2.5168710e+18
   2.2400000e+03   2.5339341e+18
   2.2642500e+03   2.5523969e+18
   2.2885000e+03   2.5684280e+18
   2.3127500e+03   2.5857337e+18
   2.3370000e+03   2.6029594e+18
   2.3612500e+03   2.6211475e+18
   2.3855000e+03   2.6371895e+18
   2.4097500e+03   2.6541576e+18
   2.4340000e+03   2.6713818e+18
   2.4582500e+03   2.6896230e+18
   2.4825000e+03   2.6884323e+18
   2.5067500e+03   2.7229691e+18
   2.5310000e+03   2.7389227e+18
   2.5552500e+03   2.7555437e+18
   2.5795000e+03   2.7732707e+18
   2.6037500e+03   2.7894638e+18
   2.6280000e+03   2.8057429e+18
   2.6522500e+03   2.8222914e+18
   2.6765000e+03   2.8387307e+18
   2.7007500e+03   2.8560647e+18
   2.7250000e+03   2.8700697e+18
   2.7492500e+03   2.8864613e+18
   2.7735000e+03   2.9019219e+18
   2.7977500e+03   2.9168202e+18
   2.8220000e+03   2.9329862e+18
   2.8462500e+03   2.9484395e+18
   2.8705000e+03   2.9635845e+18
   2.8947500e+03   2.9789271e+18
   2.9190000e+03   2.9938955e+18
   2.9432500e+03   3.0089946e+18
   2.9675000e+03   3.0238117e+18
   2.9917500e+03   3.0377478e+18
   3.0160000e+03   3.0532939e+18
   3.0402500e+03   3.0174653e+18
   3.0645000e+03   3.0817123e+18
   3.0887500e+03   3.0968271e+18
   3.1130000e+03   3.1056859e+18
   3.1372500e+03   3.1242031e+18
   3.1615000e+03   3.1386329e+18
   3.1857500e+03   3.1551591e+18
   3.2100000e+03   3.1665320e+18
   3.2342500e+03   3.2518142e+18
   3.2585000e+03   3.1936007e+18
   3.2827500e+03   3.2069646e+18
   3.3070000e+03   3.2243199e+18
