# cobalt, electron heat capacity from spin-resolved DFT, sum of majo and mino c_e, calculations by Jan Vorberger
# T [K] 	   c_e [J/(m^3K)]
   3.0000000e+02   9.5911361e+04
   3.2425000e+02   1.0371185e+05
   3.4850000e+02   1.1193046e+05
   3.7275000e+02   1.2926470e+05
   3.9700000e+02   1.2766915e+05
   4.2125000e+02   1.3577337e+05
   4.4550000e+02   1.4358874e+05
   4.6975000e+02   1.5154422e+05
   4.9400000e+02   1.5962343e+05
   5.1825000e+02   1.6749238e+05
   5.4250000e+02   1.7698044e+05
   5.6675000e+02   1.8455211e+05
   5.9100000e+02   1.9299995e+05
   6.1525000e+02   2.0121139e+05
   6.3950000e+02   2.0875125e+05
   6.6375000e+02   2.1893556e+05
   6.8800000e+02   2.2688895e+05
   7.1225000e+02   2.3713835e+05
   7.3650000e+02   2.4556204e+05
   7.6075000e+02   2.5449202e+05
   7.8500000e+02   2.6332788e+05
   8.0925000e+02   2.6856720e+05
   8.3350000e+02   2.8384757e+05
   8.5775000e+02   2.9327602e+05
   8.8200000e+02   3.0349595e+05
   9.0625000e+02   3.1286763e+05
   9.3050000e+02   3.2066360e+05
   9.5475000e+02   3.3654420e+05
   9.7900000e+02   3.6313727e+05
   1.0032500e+03   3.5815516e+05
   1.0275000e+03   3.6936038e+05
   1.0517500e+03   3.8044862e+05
   1.0760000e+03   3.9354952e+05
   1.1002500e+03   4.0554190e+05
   1.1245000e+03   4.1111690e+05
   1.1487500e+03   4.3309095e+05
   1.1730000e+03   4.4482490e+05
   1.1972500e+03   4.5400339e+05
   1.2215000e+03   4.7307382e+05
   1.2457500e+03   4.8534315e+05
   1.2700000e+03   4.9922732e+05
   1.2942500e+03   5.1129571e+05
   1.3185000e+03   5.1531128e+05
   1.3427500e+03   6.2121280e+05
   1.3670000e+03   5.5742676e+05
   1.3912500e+03   5.7532317e+05
   1.4155000e+03   5.8662340e+05
   1.4397500e+03   5.9422956e+05
   1.4640000e+03   6.1063177e+05
   1.4882500e+03   6.3887817e+05
   1.5125000e+03   6.4466000e+05
   1.5367500e+03   6.6771344e+05
   1.5610000e+03   6.8091604e+05
   1.5852500e+03   7.5672549e+05
   1.6095000e+03   7.1425038e+05
   1.6337500e+03   7.3420891e+05
   1.6580000e+03   7.5469871e+05
   1.6822500e+03   7.6719365e+05
   1.7065000e+03   8.1972958e+05
   1.7307500e+03   7.8680729e+05
   1.7550000e+03   7.4825821e+05
   1.7792500e+03   9.1365185e+05
   1.8035000e+03   8.0758141e+05
   1.8277500e+03   8.6085941e+05
   1.8520000e+03   8.0587741e+05
   1.8762500e+03   8.8488242e+05
   1.9005000e+03   9.0883992e+05
   1.9247500e+03   9.2962446e+05
   1.9490000e+03   9.3583955e+05
   1.9732500e+03   9.5888955e+05
   1.9975000e+03   9.7525610e+05
   2.0217500e+03   9.9631111e+05
   2.0460000e+03   1.0080464e+06
   2.0702500e+03   1.0262291e+06
   2.0945000e+03   1.0398184e+06
   2.1187500e+03   1.0586630e+06
   2.1430000e+03   1.0723460e+06
   2.1672500e+03   1.0905632e+06
   2.1915000e+03   1.1039879e+06
   2.2157500e+03   1.1111229e+06
   2.2400000e+03   1.1332139e+06
   2.2642500e+03   1.1629767e+06
   2.2885000e+03   1.2044463e+06
   2.3127500e+03   1.2086293e+06
   2.3370000e+03   1.1978635e+06
   2.3612500e+03   1.2135568e+06
   2.3855000e+03   1.2474379e+06
   2.4097500e+03   1.2377421e+06
   2.4340000e+03   1.2577517e+06
   2.4582500e+03   1.2721475e+06
   2.4825000e+03   1.2766102e+06
   2.5067500e+03   1.3033685e+06
   2.5310000e+03   1.3062090e+06
   2.5552500e+03   1.3323796e+06
   2.5795000e+03   1.3507572e+06
   2.6037500e+03   1.3680598e+06
   2.6280000e+03   1.3414523e+06
   2.6522500e+03   1.4221891e+06
   2.6765000e+03   1.4030509e+06
   2.7007500e+03   1.4188614e+06
   2.7250000e+03   1.4284830e+06
   2.7492500e+03   1.4448223e+06
   2.7735000e+03   1.4599567e+06
   2.7977500e+03   1.4727973e+06
   2.8220000e+03   1.4858219e+06
   2.8462500e+03   1.4989432e+06
   2.8705000e+03   1.5124588e+06
   2.8947500e+03   1.5248465e+06
   2.9190000e+03   1.5360608e+06
   2.9432500e+03   1.5491642e+06
   2.9675000e+03   1.5713894e+06
   2.9917500e+03   1.5795144e+06
   3.0160000e+03   1.5860570e+06
   3.0402500e+03   1.6017411e+06
   3.0645000e+03   1.6409005e+06
   3.0887500e+03   1.6240533e+06
   3.1130000e+03   1.6382214e+06
   3.1372500e+03   1.6258688e+06
   3.1615000e+03   1.6559374e+06
   3.1857500e+03   1.6979846e+06
   3.2100000e+03   1.7198500e+06
   3.2342500e+03   1.6967916e+06
   3.2585000e+03   1.7094869e+06
   3.2827500e+03   1.7149476e+06
   3.3070000e+03   1.7221132e+06
   3.3312500e+03   1.7442641e+06
   3.3555000e+03   1.7523226e+06
   3.3797500e+03   1.7217830e+06
   3.4040000e+03   1.7736719e+06
   3.4282500e+03   1.8245868e+06
   3.4525000e+03   1.7981566e+06
   3.4767500e+03   1.8062695e+06
   3.5010000e+03   1.8230309e+06
   3.5252500e+03   1.8252879e+06
   3.5495000e+03   1.8367639e+06
   3.5737500e+03   1.8451780e+06
   3.5980000e+03   1.8506790e+06
   3.6222500e+03   1.8650011e+06
   3.6465000e+03   1.8756726e+06
   3.6707500e+03   1.8832984e+06
   3.6950000e+03   1.8869463e+06
   3.7192500e+03   1.9037877e+06
   3.7435000e+03   1.8433711e+06
   3.7677500e+03   1.9225891e+06
   3.7920000e+03   1.9432909e+06
   3.8162500e+03   1.9290200e+06
   3.8405000e+03   1.9402717e+06
   3.8647500e+03   1.9494050e+06
   3.8890000e+03   1.9640580e+06
   3.9132500e+03   1.9742400e+06
   3.9375000e+03   1.9814042e+06
   3.9617500e+03   1.9970667e+06
   3.9860000e+03   1.9967418e+06
   4.0102500e+03   2.0090080e+06
   4.0345000e+03   1.9824987e+06
   4.0587500e+03   2.0331486e+06
   4.0830000e+03   2.0334082e+06
   4.1072500e+03   2.0458727e+06
   4.1315000e+03   1.9499293e+06
   4.1557500e+03   2.0600008e+06
   4.1800000e+03   2.0634191e+06
   4.2042500e+03   2.0721336e+06
   4.2285000e+03   2.0796447e+06
   4.2527500e+03   2.0447590e+06
   4.2770000e+03   2.0932584e+06
   4.3012500e+03   2.1051195e+06
   4.3255000e+03   2.1063336e+06
   4.3497500e+03   2.1798988e+06
   4.3740000e+03   2.1938090e+06
   4.3982500e+03   2.1438423e+06
   4.4225000e+03   2.1431770e+06
   4.4467500e+03   2.1467553e+06
   4.4710000e+03   2.1516604e+06
   4.4952500e+03   2.1638452e+06
   4.5195000e+03   2.1617573e+06
   4.5437500e+03   2.1827187e+06
   4.5680000e+03   2.1773237e+06
   4.5922500e+03   2.2066960e+06
   4.6165000e+03   2.3100399e+06
   4.6407500e+03   2.1942084e+06
   4.6650000e+03   2.2105154e+06
   4.6892500e+03   2.3279890e+06
   4.7135000e+03   2.2122775e+06
   4.7377500e+03   2.1664054e+06
   4.7620000e+03   2.2324476e+06
   4.7862500e+03   2.2344444e+06
   4.8105000e+03   2.2325628e+06
   4.8347500e+03   2.2431243e+06
   4.8590000e+03   2.2843706e+06
   4.8832500e+03   2.2540444e+06
   4.9075000e+03   2.3086768e+06
   4.9317500e+03   2.2670500e+06
   4.9560000e+03   2.2725971e+06
   4.9802500e+03   2.2753681e+06
   5.0045000e+03   2.2409559e+06
   5.0287500e+03   2.3234074e+06
   5.0530000e+03   2.2869780e+06
   5.0772500e+03   2.3003313e+06
   5.1015000e+03   2.4180301e+06
   5.1257500e+03   2.3135870e+06
   5.1500000e+03   2.3166069e+06
   5.1742500e+03   2.3251212e+06
   5.1985000e+03   2.3235212e+06
   5.2227500e+03   2.3313025e+06
   5.2470000e+03   2.3377290e+06
   5.2712500e+03   2.3370570e+06
   5.2955000e+03   2.3420719e+06
   5.3197500e+03   2.2376220e+06
   5.3440000e+03   2.3546135e+06
   5.3682500e+03   2.3745137e+06
   5.3925000e+03   2.3630581e+06
   5.4167500e+03   2.3731652e+06
   5.4410000e+03   2.3768148e+06
   5.4652500e+03   2.3751184e+06
   5.4895000e+03   2.3430818e+06
   5.5137500e+03   2.4172355e+06
   5.5380000e+03   2.3890347e+06
   5.5622500e+03   2.3985053e+06
   5.5865000e+03   2.4021698e+06
   5.6107500e+03   2.4030817e+06
   5.6350000e+03   2.4120562e+06
   5.6592500e+03   2.4167038e+06
   5.6835000e+03   2.2992831e+06
   5.7077500e+03   2.4213449e+06
   5.7320000e+03   2.4122361e+06
   5.7562500e+03   2.4293774e+06
   5.7805000e+03   2.4377748e+06
   5.8047500e+03   2.4338466e+06
   5.8290000e+03   2.4430380e+06
   5.8532500e+03   2.4470231e+06
   5.8775000e+03   2.4529688e+06
   5.9017500e+03   2.4527259e+06
   5.9260000e+03   2.4517538e+06
   5.9502500e+03   2.3671536e+06
   5.9745000e+03   2.4632106e+06
   5.9987500e+03   2.4087373e+06
   6.0230000e+03   2.4381041e+06
   6.0472500e+03   2.4710513e+06
   6.0715000e+03   2.4794423e+06
   6.0957500e+03   2.4853878e+06
   6.1200000e+03   2.4875251e+06
   6.1442500e+03   2.4913030e+06
   6.1685000e+03   2.4947269e+06
   6.1927500e+03   2.4980154e+06
   6.2170000e+03   2.4855107e+06
   6.2412500e+03   2.5057454e+06
   6.2655000e+03   2.5144073e+06
   6.2897500e+03   2.5179764e+06
   6.3140000e+03   2.5158513e+06
   6.3382500e+03   2.5189556e+06
   6.3625000e+03   2.5099665e+06
   6.3867500e+03   2.5316452e+06
   6.4110000e+03   2.5615304e+06
   6.4352500e+03   2.5309161e+06
   6.4595000e+03   2.5255636e+06
   6.4837500e+03   2.5159130e+06
   6.5080000e+03   2.5468437e+06
   6.5322500e+03   2.5492618e+06
   6.5565000e+03   2.5505075e+06
   6.5807500e+03   2.5543525e+06
   6.6050000e+03   2.5505125e+06
   6.6292500e+03   2.5466675e+06
   6.6535000e+03   2.5461373e+06
   6.6777500e+03   2.5553132e+06
   6.7020000e+03   2.5660549e+06
   6.7262500e+03   2.6129371e+06
   6.7505000e+03   2.5667462e+06
   6.7747500e+03   2.5711306e+06
   6.7990000e+03   2.5900534e+06
   6.8232500e+03   2.6019579e+06
