# cobalt, lattice heat capacity from spin-resolved DFT, calculations by Jan Vorberger
# T [K] 	   c_p [J/(m^3K)]
   1.7501251e+00   3.0985403e+01
   3.2503752e+00   1.1657926e+02
   4.7506253e+00   3.2050836e+02
   6.2508754e+00   6.9595949e+02
   7.7511256e+00   1.2952611e+03
   9.2513757e+00   2.1735996e+03
   1.0751626e+01   3.3947951e+03
   1.2251876e+01   5.0383613e+03
   1.3752126e+01   7.2084984e+03
   1.5252376e+01   1.0043502e+04
   1.6752626e+01   1.3721238e+04
   1.8252876e+01   1.8457109e+04
   1.9753127e+01   2.4494149e+04
   2.1253377e+01   3.2087733e+04
   2.2753627e+01   4.1488508e+04
   2.4253877e+01   5.2926687e+04
   2.5754127e+01   6.6599675e+04
   2.7254377e+01   8.2663811e+04
   2.8754627e+01   1.0123011e+05
   3.0254877e+01   1.2236338e+05
   3.1755128e+01   1.4608400e+05
   3.3255378e+01   1.7237139e+05
   3.4755628e+01   2.0116871e+05
   3.6255878e+01   2.3238804e+05
   3.7756128e+01   2.6591574e+05
   3.9256378e+01   3.0161765e+05
   4.0756628e+01   3.3934403e+05
   4.2256878e+01   3.7893401e+05
   4.3757129e+01   4.2021952e+05
   4.5257379e+01   4.6302884e+05
   4.6757629e+01   5.0718943e+05
   4.8257879e+01   5.5253054e+05
   4.9758129e+01   5.9888511e+05
   5.1258379e+01   6.4609148e+05
   5.2758629e+01   6.9399465e+05
   5.4258879e+01   7.4244719e+05
   5.5759130e+01   7.9130991e+05
   5.7259380e+01   8.4045236e+05
   5.8759630e+01   8.8975300e+05
   6.0259880e+01   9.3909935e+05
   6.1760130e+01   9.8838785e+05
   6.3260380e+01   1.0375238e+06
   6.4760630e+01   1.0864209e+06
   6.6260880e+01   1.1350012e+06
   6.7761131e+01   1.1831947e+06
   6.9261381e+01   1.2309386e+06
   7.0761631e+01   1.2781773e+06
   7.2261881e+01   1.3248619e+06
   7.3762131e+01   1.3709495e+06
   7.5262381e+01   1.4164030e+06
   7.6762631e+01   1.4611905e+06
   7.8262881e+01   1.5052853e+06
   7.9763132e+01   1.5486648e+06
   8.1263382e+01   1.5913109e+06
   8.2763632e+01   1.6332089e+06
   8.4263882e+01   1.6743478e+06
   8.5764132e+01   1.7147195e+06
   8.7264382e+01   1.7543189e+06
   8.8764632e+01   1.7931431e+06
   9.0264882e+01   1.8311917e+06
   9.1765133e+01   1.8684664e+06
   9.3265383e+01   1.9049703e+06
   9.4765633e+01   1.9407084e+06
   9.6265883e+01   1.9756870e+06
   9.7766133e+01   2.0099137e+06
   9.9266383e+01   2.0433970e+06
   1.0076663e+02   2.0761464e+06
   1.0226688e+02   2.1081723e+06
   1.0376713e+02   2.1394856e+06
   1.0526738e+02   2.1700979e+06
   1.0676763e+02   2.2000211e+06
   1.0826788e+02   2.2292677e+06
   1.0976813e+02   2.2578503e+06
   1.1126838e+02   2.2857819e+06
   1.1276863e+02   2.3130755e+06
   1.1426888e+02   2.3397444e+06
   1.1576913e+02   2.3658018e+06
   1.1726938e+02   2.3912609e+06
   1.1876963e+02   2.4161352e+06
   1.2026988e+02   2.4404376e+06
   1.2177014e+02   2.4641815e+06
   1.2327039e+02   2.4873796e+06
   1.2477064e+02   2.5100451e+06
   1.2627089e+02   2.5321904e+06
   1.2777114e+02   2.5538283e+06
   1.2927139e+02   2.5749709e+06
   1.3077164e+02   2.5956305e+06
   1.3227189e+02   2.6158190e+06
   1.3377214e+02   2.6355481e+06
   1.3527239e+02   2.6548294e+06
   1.3677264e+02   2.6736739e+06
   1.3827289e+02   2.6920929e+06
   1.3977314e+02   2.7100971e+06
   1.4127339e+02   2.7276970e+06
   1.4277364e+02   2.7449029e+06
   1.4427389e+02   2.7617249e+06
   1.4577414e+02   2.7781729e+06
   1.4727439e+02   2.7942564e+06
   1.4877464e+02   2.8099847e+06
   1.5027489e+02   2.8253671e+06
   1.5177514e+02   2.8404124e+06
   1.5327539e+02   2.8551292e+06
   1.5477564e+02   2.8695260e+06
   1.5627589e+02   2.8836111e+06
   1.5777614e+02   2.8973924e+06
   1.5927639e+02   2.9108777e+06
   1.6077664e+02   2.9240746e+06
   1.6227689e+02   2.9369905e+06
   1.6377714e+02   2.9496325e+06
   1.6527739e+02   2.9620077e+06
   1.6677764e+02   2.9741228e+06
   1.6827789e+02   2.9859845e+06
   1.6977814e+02   2.9975991e+06
   1.7127839e+02   3.0089729e+06
   1.7277864e+02   3.0201121e+06
   1.7427889e+02   3.0310224e+06
