# iron, G_ep from spin-resolved DFT, sum of majo and mino G_ep, calculations by Jan Vorberger
# T [K] 	   G_ep [W/(m^3K)]
   2.0000000e+02   1.2445388e+18
   2.3960000e+02   1.2444775e+18
   2.7920000e+02   1.2444895e+18
   3.1880000e+02   1.2447214e+18
   3.5840000e+02   1.2453088e+18
   3.9800000e+02   1.2464530e+18
   4.3760000e+02   1.2483194e+18
   4.7720000e+02   1.2510210e+18
   5.1680000e+02   1.2546914e+18
   5.5640000e+02   1.2594112e+18
   5.9600000e+02   1.2651490e+18
   6.3560000e+02   1.2719161e+18
   6.7520000e+02   1.2796914e+18
   7.1480000e+02   1.2882318e+18
   7.5440000e+02   1.2977895e+18
   7.9400000e+02   1.3078920e+18
   8.3360000e+02   1.3186211e+18
   8.7320000e+02   1.3298135e+18
   9.1280000e+02   1.3414617e+18
   9.5240000e+02   1.3533463e+18
   9.9200000e+02   1.3654612e+18
   1.0316000e+03   1.3776868e+18
   1.0712000e+03   1.3900525e+18
   1.1108000e+03   1.4024009e+18
   1.1504000e+03   1.4146903e+18
   1.1900000e+03   1.4270303e+18
   1.2296000e+03   1.4392179e+18
   1.2692000e+03   1.4513355e+18
   1.3088000e+03   1.4630830e+18
   1.3484000e+03   1.4746984e+18
   1.3880000e+03   1.4860589e+18
   1.4276000e+03   1.4971891e+18
   1.4672000e+03   1.5086168e+18
   1.5068000e+03   1.5190080e+18
   1.5464000e+03   1.5286816e+18
   1.5860000e+03   1.5401966e+18
   1.6256000e+03   1.5506054e+18
   1.6652000e+03   1.5608321e+18
   1.7048000e+03   1.5709769e+18
   1.7444000e+03   1.5810179e+18
   1.7840000e+03   1.5909668e+18
   1.8236000e+03   1.6009117e+18
   1.8632000e+03   1.6106704e+18
   1.9028000e+03   1.6205056e+18
   1.9424000e+03   1.6309780e+18
   1.9820000e+03   1.6402458e+18
   2.0216000e+03   1.6478312e+18
   2.0612000e+03   1.6594237e+18
   2.1008000e+03   1.6691696e+18
   2.1404000e+03   1.6792668e+18
   2.1800000e+03   1.6887789e+18
   2.2196000e+03   1.6986306e+18
   2.2592000e+03   1.7085068e+18
   2.2988000e+03   1.7184753e+18
   2.3384000e+03   1.7286746e+18
   2.3780000e+03   1.7391585e+18
   2.4176000e+03   1.7488727e+18
   2.4572000e+03   1.7592410e+18
   2.4968000e+03   1.7697080e+18
   2.5364000e+03   1.7803089e+18
   2.5760000e+03   1.7908109e+18
   2.6156000e+03   1.8024892e+18
   2.6552000e+03   1.8106392e+18
   2.6948000e+03   1.8260401e+18
   2.7344000e+03   1.8380021e+18
   2.7740000e+03   1.8502697e+18
   2.8136000e+03   1.8625601e+18
   2.8532000e+03   1.8751290e+18
   2.8928000e+03   1.8878433e+18
   2.9324000e+03   1.9008061e+18
   2.9720000e+03   1.9143421e+18
   3.0116000e+03   1.9286134e+18
   3.0512000e+03   1.9430966e+18
   3.0908000e+03   1.9577915e+18
   3.1304000e+03   1.9726573e+18
   3.1700000e+03   1.9878491e+18
   3.2096000e+03   2.0030277e+18
   3.2492000e+03   2.0203399e+18
   3.2888000e+03   2.0332219e+18
   3.3284000e+03   2.0501335e+18
   3.3680000e+03   2.0651492e+18
   3.4076000e+03   2.0803996e+18
   3.4472000e+03   2.0955294e+18
   3.4868000e+03   2.1111078e+18
   3.5264000e+03   2.1266234e+18
   3.5660000e+03   2.1428085e+18
   3.6056000e+03   2.1576761e+18
   3.6452000e+03   2.1750977e+18
   3.6848000e+03   2.1915049e+18
   3.7244000e+03   2.1853543e+18
   3.7640000e+03   2.2233556e+18
   3.8036000e+03   2.2395713e+18
   3.8432000e+03   2.2558685e+18
   3.8828000e+03   2.2711900e+18
   3.9224000e+03   2.2889228e+18
   3.9620000e+03   2.3056214e+18
   4.0016000e+03   2.3224720e+18
   4.0412000e+03   2.3351806e+18
   4.0808000e+03   2.3561986e+18
