# iron, electron heat capacity from spin-resolved DFT, sum of majo and mino c_e, calculations by Jan Vorberger
# T [K] 	   c_e [J/(m^3K)]
   2.0000000e+02   3.4976365e+04
   2.3960000e+02   4.2129817e+04
   2.7920000e+02   4.9059287e+04
   3.1880000e+02   5.6399805e+04
   3.5840000e+02   6.3580520e+04
   3.9800000e+02   7.0415318e+04
   4.3760000e+02   7.6919771e+04
   4.7720000e+02   8.5096498e+04
   5.1680000e+02   9.3313750e+04
   5.5640000e+02   1.0053194e+05
   5.9600000e+02   1.0704117e+05
   6.3560000e+02   1.1606357e+05
   6.7520000e+02   1.2399378e+05
   7.1480000e+02   1.3193827e+05
   7.5440000e+02   1.3987501e+05
   7.9400000e+02   1.4776766e+05
   8.3360000e+02   1.5538842e+05
   8.7320000e+02   1.6307510e+05
   9.1280000e+02   1.7085080e+05
   9.5240000e+02   1.7891836e+05
   9.9200000e+02   1.8715587e+05
   1.0316000e+03   1.9413344e+05
   1.0712000e+03   2.0193365e+05
   1.1108000e+03   2.0911471e+05
   1.1504000e+03   2.3021915e+05
   1.1900000e+03   2.2520962e+05
   1.2296000e+03   2.3119230e+05
   1.2692000e+03   2.4043266e+05
   1.3088000e+03   2.4613909e+05
   1.3484000e+03   2.5311215e+05
   1.3880000e+03   2.5964573e+05
   1.4276000e+03   2.7057506e+05
   1.4672000e+03   2.7396730e+05
   1.5068000e+03   2.8089557e+05
   1.5464000e+03   2.8780514e+05
   1.5860000e+03   2.9486964e+05
   1.6256000e+03   3.0083584e+05
   1.6652000e+03   3.0887723e+05
   1.7048000e+03   3.5129382e+05
   1.7444000e+03   3.2242621e+05
   1.7840000e+03   3.3132676e+05
   1.8236000e+03   3.4000375e+05
   1.8632000e+03   3.3071529e+05
   1.9028000e+03   3.5065079e+05
   1.9424000e+03   3.5855030e+05
   1.9820000e+03   3.6478531e+05
   2.0216000e+03   3.6994614e+05
   2.0612000e+03   3.7999264e+05
   2.1008000e+03   4.0147516e+05
   2.1404000e+03   3.9506656e+05
   2.1800000e+03   4.0199997e+05
   2.2196000e+03   4.0928117e+05
   2.2592000e+03   4.1420966e+05
   2.2988000e+03   4.3039464e+05
   2.3384000e+03   4.3232605e+05
   2.3780000e+03   4.4164170e+05
   2.4176000e+03   4.5045057e+05
   2.4572000e+03   4.5912729e+05
   2.4968000e+03   4.6581725e+05
   2.5364000e+03   4.7386258e+05
   2.5760000e+03   4.8215696e+05
   2.6156000e+03   4.9117826e+05
   2.6552000e+03   5.0105880e+05
   2.6948000e+03   5.0687711e+05
   2.7344000e+03   5.1763014e+05
   2.7740000e+03   5.2693331e+05
   2.8136000e+03   5.3446645e+05
   2.8532000e+03   5.4304341e+05
   2.8928000e+03   5.5403564e+05
   2.9324000e+03   5.6024955e+05
   2.9720000e+03   5.7826363e+05
   3.0116000e+03   5.8040833e+05
