# iron, lattice heat capacity from spin-resolved DFT, calculations by Jan Vorberger
# T [K] 	   c_p [J/(m^3K)]
   1.0995996e+01   6.5511117e+03
   1.2987988e+01   9.7386386e+03
   1.4979980e+01   1.3791692e+04
   1.6971972e+01   1.8848971e+04
   1.8963964e+01   2.5086010e+04
   2.0955956e+01   3.2721937e+04
   2.2947948e+01   4.2015546e+04
   2.4939940e+01   5.3250342e+04
   2.6931932e+01   6.6712709e+04
   2.8923924e+01   8.2668762e+04
   3.0915916e+01   1.0134439e+05
   3.2907908e+01   1.2291101e+05
   3.4899900e+01   1.4747757e+05
   3.6891892e+01   1.7508843e+05
   3.8883884e+01   2.0572570e+05
   4.0875876e+01   2.3931490e+05
   4.2867868e+01   2.7573261e+05
   4.4859860e+01   3.1481511e+05
   4.6851852e+01   3.5636723e+05
   4.8843844e+01   4.0017087e+05
   5.0835836e+01   4.4599282e+05
   5.2827828e+01   4.9359172e+05
   5.4819820e+01   5.4272390e+05
   5.6811812e+01   5.9314838e+05
   5.8803804e+01   6.4463076e+05
   6.0795796e+01   6.9694633e+05
   6.2787788e+01   7.4988231e+05
   6.4779780e+01   8.0323947e+05
   6.6771772e+01   8.5683310e+05
   6.8763764e+01   9.1049360e+05
   7.0755756e+01   9.6406654e+05
   7.2747748e+01   1.0174125e+06
   7.4739740e+01   1.0704068e+06
   7.6731732e+01   1.1229386e+06
   7.8723724e+01   1.1749105e+06
   8.0715716e+01   1.2262376e+06
   8.2707708e+01   1.2768465e+06
   8.4699700e+01   1.3266748e+06
   8.6691692e+01   1.3756698e+06
   8.8683684e+01   1.4237879e+06
   9.0675676e+01   1.4709938e+06
   9.2667668e+01   1.5172594e+06
   9.4659660e+01   1.5625636e+06
   9.6651652e+01   1.6068908e+06
   9.8643644e+01   1.6502311e+06
   1.0063564e+02   1.6925790e+06
   1.0262763e+02   1.7339333e+06
   1.0461962e+02   1.7742963e+06
   1.0661161e+02   1.8136736e+06
   1.0860360e+02   1.8520733e+06
   1.1059560e+02   1.8895060e+06
   1.1258759e+02   1.9259844e+06
   1.1457958e+02   1.9615225e+06
   1.1657157e+02   1.9961362e+06
   1.1856356e+02   2.0298421e+06
   1.2055556e+02   2.0626581e+06
   1.2254755e+02   2.0946027e+06
   1.2453954e+02   2.1256950e+06
   1.2653153e+02   2.1559544e+06
   1.2852352e+02   2.1854008e+06
   1.3051552e+02   2.2140542e+06
   1.3250751e+02   2.2419346e+06
   1.3449950e+02   2.2690620e+06
   1.3649149e+02   2.2954565e+06
   1.3848348e+02   2.3211378e+06
   1.4047548e+02   2.3461254e+06
   1.4246747e+02   2.3704388e+06
   1.4445946e+02   2.3940970e+06
   1.4645145e+02   2.4171187e+06
   1.4844344e+02   2.4395222e+06
   1.5043544e+02   2.4613255e+06
   1.5242743e+02   2.4825463e+06
   1.5441942e+02   2.5032016e+06
   1.5641141e+02   2.5233083e+06
   1.5840340e+02   2.5428827e+06
   1.6039540e+02   2.5619408e+06
   1.6238739e+02   2.5804979e+06
   1.6437938e+02   2.5985693e+06
   1.6637137e+02   2.6161694e+06
   1.6836336e+02   2.6333126e+06
   1.7035536e+02   2.6500126e+06
