Ab initio lattice heat capacity of optical phonons from Sukanyas monolayer DFT
Temperature [K]	C_p [J/m^3K]
2	1.5770638128742576e-09
3	0.00011612266052907216
4	0.03451742218931031
5	1.0884544371456286
6	10.743919833153086
7	53.840905491839294
8	176.98597299529865
9	442.4610412209913
10	920.1937423663949
11	1683.7723601037105
12	2809.036207419016
13	4372.0992713069645
14	6445.707224504666
15	9094.686473080292
16	12371.773411767615
17	16314.765719505209
18	20945.351342744485
19	26269.498413147798
20	32279.029700263127
21	38953.9286204417
22	46264.9628775568
23	54176.30492587949
24	62647.93346031668
25	71637.6937854402
26	81102.96764607854
27	91001.95366775294
28	101294.59085219691
29	111943.17398197413
30	122912.71569646252
31	134171.10912852897
32	145689.14018623435
33	157440.39184762395
34	169401.07554406626
35	181549.8176538461
36	193867.4227593731
37	206336.62983776914
38	218941.87299989394
39	231669.05472098026
40	244505.33662329733
41	257438.95066599725
42	270459.0319551298
43	283555.4732014402
44	296718.8000304477
45	309940.0658079226
46	323210.7643171077
47	336522.75845715986
48	349868.2230821708
49	363239.6001316827
50	376629.56429143983
51	390030.9975457358
52	403436.9711263545
53	416840.7335152646
54	430235.7033125183
55	443615.465929848
56	456973.7732126536
57	470304.54522406636
58	483601.8735451273
59	496860.0255528209
60	510073.4492340913
61	523236.7781783829
62	536344.8364648686
63	549392.6432242739
64	562375.4167094701
65	575288.5777549425
66	588127.7525439312
67	600888.7746340036
68	613567.686217719
69	626160.7386166569
70	638664.3920233217
71	651075.3145189947
72	663390.3804048329
73	675606.6678914138
74	687721.4561962592
75	699732.2221022195
76	711636.6360310646
77	723432.5576870097
78	735118.031324266
79	746691.2806908123
80	758150.7036994519
81	769494.8668736622
82	780722.4996138592
83	791832.4883261948
84	802823.8704529654
85	813695.8284407537
86	824447.6836792098
87	835078.8904399166
88	845589.0298425561
89	855977.8038718858
90	866245.029466923
91	876390.6327007569
92	886414.6430671756
93	896317.1878880641
94	906098.4868530317
95	915758.8467015444
96	925298.6560551845
97	934718.380406782
98	944018.557271152
99	953199.7915010748
100	962262.7507713116
101	971208.161231234
102	980036.8033274284
103	988749.5077949606
104	997347.1518167154
105	1005830.6553488553
106	1014200.977609555
107	1022459.11372901
108	1030606.0915567009
109	1038642.9686224904
110	1046570.8292480551
111	1054390.7818039525
112	1062103.956108269
113	1069711.5009627237
114	1077214.5818211203
115	1084614.3785858515
116	1091912.083528079
117	1099108.8993263156
118	1106206.0372194396
119	1113204.7152691418
120	1120106.1567273068
121	1126911.588504436
122	1133622.239733452
123	1140239.3404264098
124	1146764.1202178681
125	1153197.8071929784
126	1159541.6267943878
127	1165796.800805421
128	1171964.54640534
129	1178046.0752931847
130	1184042.592876125
131	1189955.29752052
132	1195785.379860413
133	1201534.022162071
134	1207202.3977405648
135	1212791.6704261876
136	1218302.9940774203
137	1223737.512138168
138	1229096.3572367667
139	1234380.650824313
140	1239591.5028496522
141	1244730.0114698044
142	1249797.262792611
143	1254794.3306503475
144	1259722.2764025205
145	1264582.148765234
146	1269374.983666277
147	1274101.8041243665
148	1278763.6201497205
149	1283361.4286663793
150	1287896.213453512
151	1292368.9451047159
152	1296780.5810047323
153	1301132.0653212292
154	1305424.3290116554
155	1309658.2898434598
156	1313834.8524270062
157	1317954.9082598393
158	1322019.335782236
159	1326029.000441914
160	1329984.7547687236
161	1333887.4384570592
162	1337737.8784562459
163	1341536.8890680843
164	1345285.2720504971
165	1348983.8167274354
166	1352633.3001035978
167	1356234.4869842688
168	1359788.1300996311
169	1363294.970232195
170	1366755.7363485745
171	1370171.1457336885
172	1373541.9041277147
173	1376868.705865657
174	1380152.234018399
175	1383393.1605359681
176	1386592.1463919505
177	1389749.841728753
178	1392866.886004504
179	1395943.90813981
180	1398981.526665442
181	1401980.3498700722
182	1404940.9759486057
183	1407863.9931489886
184	1410749.979920771
185	1413599.5050615838
186	1416413.1278637082
187	1419191.3982604134
188	1421934.856970502
189	1424644.035643015
190	1427319.4569999222
191	1429961.6349791097
192	1432571.0748744935
193	1435148.2734765504
194	1437693.7192101341
195	1440207.892272541
196	1442691.2647684321
197	1445144.3008443026
198	1447567.4568217802
199	1449961.1813283763
200	1452325.9154274613
201	1454662.0927463097
202	1456970.1396025154
203	1459250.4751290726
204	1461503.511397535
205	1463729.6535392452
206	1465929.2998655117
207	1468102.8419858282
208	1470250.6649238882
209	1472373.1472329067
210	1474470.6611080735
211	1476543.5724985981
212	1478592.2412166304
213	1480617.0210458308
214	1482618.2598471376
215	1484596.2996637493
216	1486551.4768236799
217	1488484.1220414257
218	1490394.5605171307
219	1492283.1120346142
220	1494150.0910579995
221	1495995.8068262364
222	1497820.563446098
223	1499624.6599837258
224	1501408.3905549976
225	1503172.0444133654
226	1504915.906037238
227	1506640.2552150395
228	1508345.3671292905
229	1510031.5124389634
230	1511698.9573601994
231	1513347.9637466506
232	1514978.789166217
233	1516591.6869791015
234	1518186.9064124739
235	1519764.6926342524
236	1521325.2868263023
237	1522868.9262556233
238	1524395.8443437284
239	1525906.2707363388
240	1527400.431370337
241	1528878.5485398257
242	1530340.8409617965
243	1531787.5238393673
244	1533218.8089247798
245	1534634.904580757
246	1536036.0158409565
247	1537422.3444690225
248	1538794.0890170177
249	1540151.444882243
250	1541494.6043632538
251	1542823.7567151156
252	1544139.0882027727
253	1545440.7821544874
254	1546729.0190135294
255	1548003.97638922
256	1549265.8291067483
257	1550514.7492565212
258	1551750.9062419895
259	1552974.4668274394
260	1554185.5951835304
261	1555384.4529335725
262	1556571.1991975578
263	1557745.990636591
264	1558908.9814950835
265	1560060.3236435957
266	1561200.166619908
267	1562328.6576693333
268	1563445.9417856769
269	1564552.1617486011
270	1565647.4581635369
271	1566731.9694982627
272	1567805.8321207194
273	1568869.1803343482
274	1569922.146414341
275	1570964.8606420336
276	1571997.4513399643
277	1573020.0449040656
278	1574032.7658380023
279	1575035.7367851543
280	1576029.0785593449
281	1577012.9101779563
282	1577987.3488906247
283	1578952.5102103224
284	1579908.507942405
285	1580855.454213654
286	1581793.4595007054
287	1582722.6326573924
288	1583643.0809430026
289	1584554.910048384
290	1585458.2241216875
291	1586353.1257962666
292	1587239.7162134876
293	1588118.095049458
294	1588988.3605386247
295	1589850.6094978987
296	1590704.9373503546
297	1591551.4381482163
298	1592390.2045953404
299	1593221.328069681
300	1594044.8986453994
301	1594861.005113824
302	1595669.7350046914
303	1596471.1746071912
304	1597265.4089894409
305	1598052.5220196145
306	1598832.5963840282
307	1599605.7136078104
308	1600371.9540727597
309	1601131.3970364588
310	1601884.1206502353
311	1602630.2019764727
312	1603369.7170076733
313	1604102.7406819193
314	1604829.3469009078
315	1605549.6085462668
316	1606263.5974957366
317	1606971.3846392892
318	1607673.0398951725
319	1608368.6322246953
320	1609058.2296478802
321	1609741.8992584492
322	1610419.7072382276
323	1611091.7188715956
324	1611757.9985596195
325	1612418.6098339437
326	1613073.615370546
327	1613723.0770028103
328	1614367.0557351129
329	1615005.6117553478
330	1615638.8044482707
331	1616266.6924068055
332	1616889.333445967
333	1617506.7846129192
334	1618119.1022008178
335	1618726.3417589264
336	1619328.5581050094
337	1619925.805335907
338	1620518.136838859
339	1621105.605302655
340	1621688.2627279847
341	1622266.1604373124
342	1622839.3490863943
343	1623407.8786736748
344	1623971.79855045
345	1624531.1574299545
346	1625086.0033984836
347	1625636.3839233166
348	1626182.3458628692
349	1626723.935475103
350	1627261.1984278671
351	1627794.1798058143
352	1628322.9241209282
353	1628847.4753197036
354	1629367.8767922395
355	1629884.171380026
356	1630396.4013844861
357	1630904.6085751683
358	1631408.8341961766
359	1631909.1189759425
360	1632405.503132861
361	1632898.026384203
362	1633386.7279526924
363	1633871.6465736404
364	1634352.8205025133
365	1634830.287521619
366	1635304.0849469728
367	1635774.2496349658
368	1636240.8179892772
369	1636703.8259670082
370	1637163.3090855542
371	1637619.3024282157
372	1638071.84065185
373	1638520.957990161
374	1638966.6882637755
375	1639409.0648821485
376	1639848.1208521049
377	1640283.8887819322
378	1640716.4008884423
379	1641145.6890010657
380	1641571.7845682707
381	1641994.7186625982
382	1642414.5219858938
383	1642831.224874665
384	1643244.8573052676
385	1643655.448898125
386	1644063.0289243218
387	1644467.6263082784
388	1644869.2696349674
389	1645267.9871524996
390	1645663.806777827
391	1646056.7561015277
392	1646446.8623913913
393	1646834.152597922
394	1647218.6533575302
395	1647600.390998234
396	1647979.391542118
397	1648355.680711433
398	1648729.2839306802
399	1649100.2263328526
400	1649468.532760955
401	1649834.2277745106
402	1650197.3356509143
403	1650557.8803906396
404	1650915.8857214279
405	1651271.3751003393
406	1651624.3717185378
407	1651974.8985047024
408	1652322.978128218
409	1652668.6330029974
410	1653011.8852902777
411	1653352.7569029264
412	1653691.2695077115
413	1654027.4445291376
414	1654361.303152446
415	1654692.8663275025
416	1655022.1547696872
417	1655349.1889665234
418	1655673.9891766133
419	1655996.5754364175
420	1656316.9675601365
421	1656635.1851439602
422	1656951.247569923
423	1657265.174006267
424	1657576.983411688
425	1657886.69453862
426	1658194.3259344124
427	1658499.8959446708
428	1658803.422715922
429	1659104.9241985795
430	1659404.418148443
431	1659701.9221290064
432	1659997.453516876
433	1660291.0294990547
434	1660582.6670797197
435	1660872.383081369
436	1661160.1941456627
437	1661446.116736927
438	1661730.1671449596
439	1662012.3614858286
440	1662292.7157052625
441	1662571.245579588
442	1662847.96671864
443	1663122.8945685248
444	1663396.0444116103
445	1663667.4313710728
446	1663937.070409823
447	1664204.9763366561
448	1664471.163803624
449	1664735.647310839
450	1664998.4412083798
451	1665259.559695797
452	1665519.0168270804
453	1665776.826510515
454	1666033.002509307
455	1666287.5584473563
456	1666540.5078067915
457	1666791.8639315392
458	1667041.6400301056
459	1667289.8491740886
460	1667536.5043029697
461	1667781.6182241137
462	1668025.203615105
463	1668267.2730236193
464	1668507.8388719982
465	1668746.913455817
466	1668984.508946577
467	1669220.637394325
468	1669455.310726695
469	1669688.5407519666
470	1669920.339160929
471	1670150.7175267944
472	1670379.6873073098
473	1670607.2598466561
474	1670833.446375283
475	1671058.2580135115
476	1671281.7057705212
477	1671503.8005468224
478	1671724.5531359678
479	1671943.9742243723
480	1672162.074393881
481	1672378.8641227512
482	1672594.3537859246
483	1672808.5536574062
484	1673021.4739109008
485	1673233.1246206132
486	1673443.5157634402
487	1673652.657218652
488	1673860.5587707711
489	1674067.2301089142
490	1674272.680828608
491	1674476.9204338645
492	1674679.958336535
493	1674881.8038572962
494	1675082.4662296039
495	1675281.9545969735
496	1675480.2780157914
497	1675677.4454568264
498	1675873.4658047068
499	1676068.3478596527
500	1676262.1003395729
501	1676454.731878486
502	1676646.2510296335
503	1676836.6662651598
504	1677025.9859780474
505	1677214.2184814773
506	1677401.3720116154
507	1677587.4547270085
508	1677772.4747099946
509	1677956.439967482
510	1678139.358431443
511	1678321.237960871
512	1678502.086341707
513	1678681.911286437
514	1678860.7204379675
515	1679038.5213675178
516	1679215.321577559
517	1679391.128499576
518	1679565.9494989365
519	1679739.791872495
520	1679912.662849554
