Ab initio lattice heat capacity of accoustic phonons from Sukanyas monolayer DFT
Temperature [K]	C_p [J/m^3K]
2	1351.8361619659283
3	2560.1242491185535
4	4023.0722967133083
5	5752.797936515279
6	7755.930824923609
7	10026.559168164446
8	12558.4529228424
9	15365.211142895609
10	18488.62239763229
11	21989.316395119706
12	25927.57094136437
13	30345.412337128553
14	35256.36648118498
15	40643.596674201865
16	46464.077889909815
17	52655.79530751627
18	59145.55885337613
19	65855.96350987174
20	72710.83230369366
21	79639.01916333579
22	86576.74426826744
23	93468.75632797746
24	100268.63405706262
25	106938.50449423326
26	113448.40136376249
27	119775.43048876687
28	125902.85987846937
29	131819.21246401954
30	137517.40955464402
31	142993.99162897607
32	148248.42836722723
33	153282.5202219369
34	158099.88791267644
35	162705.54289745667
36	167105.53027771227
37	171306.63512094354
38	175316.1434025863
39	179141.64937976495
40	182790.90201713672
41	186271.68396228194
42	189591.71743724574
43	192758.59222919735
44	195779.7117036318
45	198662.2534192543
46	201413.1414940224
47	204039.028361439
48	206546.28397197044
49	208940.9908448834
50	211228.94366884558
51	213415.65239361103
52	215506.3479571223
53	217505.98995892773
54	219419.27572785877
55	221250.65034393873
56	223004.3172662465
57	224684.2492929068
58	226294.1996399812
59	227837.71297502142
60	229318.13628054003
61	230738.62945436142
62	232102.1755793438
63	233411.59081505588
64	234669.53388017748
65	235878.5151068761
66	237040.90505838208
67	238158.94270854667
68	239234.7431880016
69	240270.30510588744
70	241267.51745941208
71	242228.1661456357
72	243153.94009163187
73	244046.43701994637
74	244907.16886700483
75	245737.56687205163
76	246538.98635438504
77	247312.71119611594
78	248059.95804731574
79	248781.88026991492
80	249479.57163594977
81	250154.0697952198
82	250806.35952650892
83	251437.37578601413
84	252048.006565758
85	252639.09557402434
86	253211.44474928564
87	253765.81661831567
88	254302.93650847944
89	254823.4946237708
90	255328.14799329048
91	255817.52230053395
92	256292.2136012182
93	256752.78993681344
94	257199.7928506483
95	257633.7388127878
96	258055.12055967416
97	258464.40835393692
98	258862.05116958893
99	259248.47780735066
100	259624.09794456302
101	259989.30312387412
102	260344.4676846212
103	260689.9496404179
104	261026.09150649552
105	261353.2210798156
106	261671.65217496542
107	261981.68531861308
108	262283.6084049628
109	262577.69731481106
110	262864.2165002485
111	263143.41953719856
112	263415.5496477222
113	263680.84019397415
114	263939.51514534256
115	264191.78952061705
116	264437.8698064635
117	264677.9543537159
118	264912.23375277675
119	265140.89118930453
120	265364.10278138745
121	265582.0378992326
122	265794.8594684297
123	266002.7242576916
124	266205.7831519003
125	266404.18141145183
126	266598.0589185059
127	266787.5504109516
128	266972.7857047479
129	267153.8899053453
130	267330.98360869644
131	267504.1830924508
132	267673.6004979519
133	267839.34400341136
134	268001.5179888297
135	268160.2231930301
136	268315.5568633048
137	268467.6128980229
138	268616.48198250274
139	268762.25171868596
140	268905.00674872147
141	269044.8288729011
142	269181.7971622833
143	269315.98806603206
144	269447.47551413014
145	269576.33101527975
146	269702.6237506402
147	269826.4206631249
148	269947.7865431237
149	270066.78411012824
150	270183.47409101325
151	270297.91529481404
152	270410.1646843551
153	270520.2774447291
154	270628.30704893067
155	270734.3053206627
156	270838.32249447744
157	270940.40727348434
158	271040.6068845182
159	271138.96713115205
160	271235.532444418
161	271330.3459315321
162	271423.449422526
163	271514.88351513783
164	271604.6876177463
165	271692.8999906131
166	271779.5577855879
167	271864.69708407164
168	271948.35293359985
169	272030.5593829194
170	272111.3495157695
171	272190.7554832213
172	272268.8085349364
