# time of execution: 2022-08-19 12:19:50
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.8]
### sample paramters ###
# Sample: FGT
# S=2.0
# mu_at=2.0[mu_B]
# nx=1	ny=1	nz=1
# dx=2.5611583299749887e-10	dy=2.5611583299749887e-10	dz=2.5611583299749887e-10	[m]
# atoms per unit cell:1
# asf=0.14
# gep=<scipy.interpolate.interpolate.interp1d object at 0x000001A43E2646D0>[W/m^3/K]
# factor cv_el=<scipy.interpolate.interpolate.interp1d object at 0x000001A43E264D10>[J/m^3/K^2]
# cv_ph=<scipy.interpolate.interpolate.interp1d object at 0x000001A43E264EF0>[J/m^3/K]
# R/g_ep = 1.174803136095604e-07[1/s]
# Tc=191[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:1.5e+22[W/m^3]
# sigma=2e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
-25.0	1.0	100.0	100.0	0	0	0	0
-24.99	0.999861121779314	100.0	100.0	0.0	0.0	0.0	0.0
-24.98	0.9997224607081234	100.0	100.0	0.0	0.0	0.0	0.0
-24.97	0.9995840163426245	100.0	100.0	0.0	0.0	0.0	0.0
-24.96	0.9994457882401833	100.0	100.0	0.0	0.0	0.0	0.0
-24.95	0.9993077759593384	100.0	100.0	0.0	0.0	0.0	0.0
-24.94	0.9991699790597888	100.0	100.0	0.0	0.0	0.0	0.0
-24.93	0.9990323971023974	100.0	100.0	0.0	0.0	0.0	0.0
-24.92	0.9988950296491833	100.0	100.0	0.0	0.0	0.0	0.0
-24.91	0.9987578762633182	100.0	100.0	0.0	0.0	0.0	0.0
-24.9	0.9986209365091244	100.0	100.0	0.0	0.0	0.0	0.0
-24.89	0.9984842099520693	100.0	100.0	0.0	0.0	0.0	0.0
-24.88	0.9983476961587623	100.0	100.0	0.0	0.0	0.0	0.0
-24.87	0.9982113946969509	100.0	100.0	0.0	0.0	0.0	0.0
-24.86	0.9980753051355176	100.0	100.0	0.0	0.0	0.0	0.0
