# time of execution: 2022-11-10 13:15:20
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 0.8]
### sample paramters ###
# Sample: FGT
# S=2.0
# mu_at=2.0[mu_B]
# nx=1	ny=1	nz=1
# dx=3.9e-10	dy=3.9e-10	dz=1.63e-09	[m]
# atoms per unit cell:10
# asf=0.06
# gep=<scipy.interpolate.interpolate.interp1d object at 0x0000014EEB609310>[W/m^3/K]
# factor cv_el=<scipy.interpolate.interpolate.interp1d object at 0x0000014EEB609950>[J/m^3/K^2]
# cv_ph=<scipy.interpolate.interpolate.interp1d object at 0x0000014EEB6092C0>[J/m^3/K]
# R/g_ep = 7.430120354852814e-08[1/s]
# Tc=191[K]
# T_Deb=460[K]
### pulse paramters ###
# peak power:2.5e+21[W/m^3]
# sigma=1.5e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
-25.0	1.0	100.0	100.0	0	0	0	0
-24.99	0.9999702531274738	100.0	100.0	0.0	0.0	0.0	0.0
-24.98	0.9999405162213283	100.0	100.0	0.0	0.0	0.0	0.0
-24.97	0.9999107892771966	100.0	100.0	0.0	0.0	0.0	0.0
-24.96	0.9998810722907142	100.0	100.0	0.0	0.0	0.0	0.0
-24.95	0.9998513652575199	100.0	100.0	0.0	0.0	0.0	0.0
-24.94	0.9998216681732541	100.0	100.0	0.0	0.0	0.0	0.0
-24.93	0.9997919810335598	100.0	100.0	0.0	0.0	0.0	0.0
-24.92	0.999762303834082	100.0	100.0	0.0	0.0	0.0	0.0
-24.91	0.9997326365704687	100.0	100.0	0.0	0.0	0.0	0.0
-24.9	0.9997029792383707	100.0	100.0	0.0	0.0	0.0	0.0
-24.89	0.9996733318334408	100.0	100.0	0.0	0.0	0.0	0.0
-24.88	0.9996436943513346	100.0	100.0	0.0	0.0	0.0	0.0
-24.87	0.9996140667877099	100.0	100.0	0.0	0.0	0.0	0.0
-24.86	0.9995844491382266	100.0	100.0	0.0	0.0	0.0	0.0
-24.85	0.9995548413985478	100.0	100.0	0.0	0.0	0.0	0.0
-24.84	0.999525243564339	100.0	100.0	0.0	0.0	0.0	0.0
-24.83	0.9994956556312671	100.0	100.0	0.0	0.0	0.0	0.0
-24.82	0.9994660775950023	100.0	100.0	0.0	0.0	0.0	0.0
-24.81	0.9994365094512173	100.0	100.0	0.0	0.0	0.0	0.0
-24.8	0.9994069511955879	100.0	100.0	0.0	0.0	0.0	0.0
-24.79	0.9993774028237903	100.0	100.0	0.0	0.0	0.0	0.0
-24.78	0.9993478643315057	100.0	100.0	0.0	0.0	0.0	0.0
-24.77	0.9993183357144149	100.0	100.0	0.0	0.0	0.0	0.0
-24.76	0.9992888169682029	100.0	100.0	0.0	0.0	0.0	0.0
-24.75	0.999259308088558	100.0	100.0	0.0	0.0	0.0	0.0
-24.74	0.9992298090711693	100.0	100.0	0.0	0.0	0.0	0.0
-24.73	0.9992003199117289	100.0	100.0	0.0	0.0	0.0	0.0
-24.72	0.999170840605931	100.0	100.0	0.0	0.0	0.0	0.0
-24.71	0.999141371149473	100.0	100.0	0.0	0.0	0.0	0.0
-24.7	0.9991119115380542	100.0	100.0	0.0	0.0	0.0	0.0
-24.69	0.9990824617673758	100.0	100.0	0.0	0.0	0.0	0.0
-24.68	0.9990530218331422	100.0	100.0	0.0	0.0	0.0	0.0
-24.67	0.9990235917310601	100.0	100.0	0.0	0.0	0.0	0.0
-24.66	0.9989941714568392	100.0	100.0	0.0	0.0	0.0	0.0
-24.65	0.9989647610061904	100.0	100.0	0.0	0.0	0.0	0.0
-24.64	0.9989353603748281	100.0	100.0	0.0	0.0	0.0	0.0
-24.63	0.9989059695584683	100.0	100.0	0.0	0.0	0.0	0.0
-24.62	0.9988765885528298	100.0	100.0	0.0	0.0	0.0	0.0
-24.61	0.9988472173536334	100.0	100.0	0.0	0.0	0.0	0.0
-24.6	0.9988178559566032	100.0	100.0	0.0	0.0	0.0	0.0
-24.59	0.9987885043574647	100.0	100.0	0.0	0.0	0.0	0.0
-24.58	0.9987591625519462	100.0	100.0	0.0	0.0	0.0	0.0
-24.57	0.9987298305357796	100.0	100.0	0.0	0.0	0.0	0.0
-24.56	0.9987005083046974	100.0	100.0	0.0	0.0	0.0	0.0
-24.55	0.9986711958544346	100.0	100.0	0.0	0.0	0.0	0.0
-24.54	0.9986418931807293	100.0	100.0	0.0	0.0	0.0	0.0
-24.53	0.9986126002793234	100.0	100.0	0.0	0.0	0.0	0.0
-24.52	0.9985833171459582	100.0	100.0	0.0	0.0	0.0	0.0
-24.51	0.9985540437763797	100.0	100.0	0.0	0.0	0.0	0.0
-24.5	0.9985247801663347	100.0	100.0	0.0	0.0	0.0	0.0
-24.49	0.9984955263115741	100.0	100.0	0.0	0.0	0.0	0.0
-24.48	0.9984662822078493	100.0	100.0	0.0	0.0	0.0	0.0
-24.47	0.9984370478509155	100.0	100.0	0.0	0.0	0.0	0.0
-24.46	0.99840782323653	100.0	100.0	0.0	0.0	0.0	0.0
-24.45	0.9983786083604524	100.0	100.0	0.0	0.0	0.0	0.0
-24.44	0.9983494032184448	100.0	100.0	0.0	0.0	0.0	0.0
-24.43	0.9983202078062708	100.0	100.0	0.0	0.0	0.0	0.0
-24.42	0.9982910221196986	100.0	100.0	0.0	0.0	0.0	0.0
-24.41	0.9982618461544961	100.0	100.0	0.0	0.0	0.0	0.0
-24.4	0.9982326799064348	100.0	100.0	0.0	0.0	0.0	0.0
-24.39	0.9982035233712889	100.0	100.0	0.0	0.0	0.0	0.0
-24.38	0.998174376544834	100.0	100.0	0.0	0.0	0.0	0.0
-24.37	0.9981452394228495	100.0	100.0	0.0	0.0	0.0	0.0
-24.36	0.9981161120011159	100.0	100.0	0.0	0.0	0.0	0.0
-24.35	0.9980869942754167	100.0	100.0	0.0	0.0	0.0	0.0
-24.34	0.998057886241537	100.0	100.0	0.0	0.0	0.0	0.0
-24.33	0.9980287878952656	100.0	100.0	0.0	0.0	0.0	0.0
-24.32	0.9979996992323932	100.0	100.0	0.0	0.0	0.0	0.0
-24.31	0.9979706202487115	100.0	100.0	0.0	0.0	0.0	0.0
-24.3	0.9979415509400169	100.0	100.0	0.0	0.0	0.0	0.0
-24.29	0.997912491302106	100.0	100.0	0.0	0.0	0.0	0.0
-24.28	0.9978834413307791	100.0	100.0	0.0	0.0	0.0	0.0
-24.27	0.9978544010218382	100.0	100.0	0.0	0.0	0.0	0.0
-24.26	0.9978253703710885	100.0	100.0	0.0	0.0	0.0	0.0
-24.25	0.9977963493743371	100.0	100.0	0.0	0.0	0.0	0.0
-24.24	0.9977673380273925	100.0	100.0	0.0	0.0	0.0	0.0
-24.23	0.9977383363260662	100.0	100.0	0.0	0.0	0.0	0.0
-24.22	0.9977093442661722	100.0	100.0	0.0	0.0	0.0	0.0
-24.21	0.9976803618435275	100.0	100.0	0.0	0.0	0.0	0.0
-24.2	0.9976513890539502	100.0	100.0	0.0	0.0	0.0	0.0
-24.19	0.9976224258932621	100.0	100.0	0.0	0.0	0.0	0.0
-24.18	0.9975934723572858	100.0	100.0	0.0	0.0	0.0	0.0
-24.17	0.9975645284418473	100.0	100.0	0.0	0.0	0.0	0.0
-24.16	0.9975355941427753	100.0	100.0	0.0	0.0	0.0	0.0
-24.15	0.997506669455899	100.0	100.0	0.0	0.0	0.0	0.0
-24.14	0.9974777543770521	100.0	100.0	0.0	0.0	0.0	0.0
-24.13	0.9974488489020695	100.0	100.0	0.0	0.0	0.0	0.0
-24.12	0.9974199530267881	100.0	100.0	0.0	0.0	0.0	0.0
-24.11	0.997391066747048	100.0	100.0	0.0	0.0	0.0	0.0
-24.1	0.9973621900586914	100.0	100.0	0.0	0.0	0.0	0.0
-24.09	0.9973333229575624	100.0	100.0	0.0	0.0	0.0	0.0
-24.08	0.9973044654395077	100.0	100.0	0.0	0.0	0.0	0.0
-24.07	0.9972756175003765	100.0	100.0	0.0	0.0	0.0	0.0
-24.06	0.9972467791360204	100.0	100.0	0.0	0.0	0.0	0.0
-24.05	0.997217950342292	100.0	100.0	0.0	0.0	0.0	0.0
-24.04	0.9971891311150491	100.0	100.0	0.0	0.0	0.0	0.0
-24.03	0.9971603214501488	100.0	100.0	0.0	0.0	0.0	0.0
-24.02	0.9971315213434521	100.0	100.0	0.0	0.0	0.0	0.0
-24.01	0.9971027307908219	100.0	100.0	0.0	0.0	0.0	0.0
-24.0	0.9970739497881237	100.0	100.0	0.0	0.0	0.0	0.0
-23.99	0.9970451783312251	100.0	100.0	0.0	0.0	0.0	0.0
-23.98	0.9970164164159957	100.0	100.0	0.0	0.0	0.0	0.0
-23.97	0.9969876640383077	100.0	100.0	0.0	0.0	0.0	0.0
-23.96	0.996958921194036	100.0	100.0	0.0	0.0	0.0	0.0
-23.95	0.9969301878790569	100.0	100.0	0.0	0.0	0.0	0.0
-23.94	0.9969014640892497	100.0	100.0	0.0	0.0	0.0	0.0
-23.93	0.996872749820496	100.0	100.0	0.0	0.0	0.0	0.0
-23.92	0.996844045068679	100.0	100.0	0.0	0.0	0.0	0.0
-23.91	0.9968153498296853	100.0	100.0	0.0	0.0	0.0	0.0
-23.9	0.9967866640994028	100.0	100.0	0.0	0.0	0.0	0.0
-23.89	0.9967579878737224	100.0	100.0	0.0	0.0	0.0	0.0
-23.88	0.9967293211485369	100.0	100.0	0.0	0.0	0.0	0.0
-23.87	0.996700663919742	100.0	100.0	0.0	0.0	0.0	0.0
-23.86	0.9966720161832341	100.0	100.0	0.0	0.0	0.0	0.0
-23.85	0.9966433779349142	100.0	100.0	0.0	0.0	0.0	0.0
-23.84	0.996614749170684	100.0	100.0	0.0	0.0	0.0	0.0
-23.83	0.9965861298864475	100.0	100.0	0.0	0.0	0.0	0.0
-23.82	0.9965575200781113	100.0	100.0	0.0	0.0	0.0	0.0
-23.81	0.9965289197415846	100.0	100.0	0.0	0.0	0.0	0.0
-23.8	0.9965003288727777	100.0	100.0	0.0	0.0	0.0	0.0
-23.79	0.9964717474676053	100.0	100.0	0.0	0.0	0.0	0.0
-23.78	0.9964431755219828	100.0	100.0	0.0	0.0	0.0	0.0
-23.77	0.9964146130318289	100.0	100.0	0.0	0.0	0.0	0.0
-23.76	0.9963860599930625	100.0	100.0	0.0	0.0	0.0	0.0
-23.75	0.9963575164016076	100.0	100.0	0.0	0.0	0.0	0.0
-23.740000000000002	0.996328982253388	100.0	100.0	0.0	0.0	0.0	0.0
-23.73	0.9963004575443312	100.0	100.0	0.0	0.0	0.0	0.0
-23.72	0.9962719422703662	100.0	100.0	0.0	0.0	0.0	0.0
-23.71	0.9962434364274257	100.0	100.0	0.0	0.0	0.0	0.0
-23.7	0.9962149400114425	100.0	100.0	0.0	0.0	0.0	0.0
-23.69	0.9961864530183538	100.0	100.0	0.0	0.0	0.0	0.0
-23.68	0.9961579754440976	100.0	100.0	0.0	0.0	0.0	0.0
-23.67	0.9961295072846146	100.0	100.0	0.0	0.0	0.0	0.0
-23.66	0.9961010485358472	100.0	100.0	0.0	0.0	0.0	0.0
-23.65	0.9960725991937416	100.0	100.0	0.0	0.0	0.0	0.0
-23.64	0.9960441592542452	100.0	100.0	0.0	0.0	0.0	0.0
-23.63	0.9960157287133071	100.0	100.0	0.0	0.0	0.0	0.0
-23.62	0.9959873075668801	100.0	100.0	0.0	0.0	0.0	0.0
-23.61	0.9959588958109187	100.0	100.0	0.0	0.0	0.0	0.0
-23.6	0.9959304934413777	100.0	100.0	0.0	0.0	0.0	0.0
-23.59	0.9959021004542176	100.0	100.0	0.0	0.0	0.0	0.0
-23.58	0.9958737168453979	100.0	100.0	0.0	0.0	0.0	0.0
-23.57	0.9958453426108831	100.0	100.0	0.0	0.0	0.0	0.0
