# time of execution: 2023-04-17 15:01:09
#model:arbspin
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:230.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: FGT
# S=0.5
# mu_at=1.6[mu_B]
# nx=1	ny=1	nz=1
# dx=3.9e-10	dy=3.9e-10	dz=1.63e-09	[m]
# atoms per unit cell:12
# asf=0.035
# gep=4.4e+17[W/m^3/K]
# factor cv_el=180.0[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*232.0[K]
# cvp_max=1998709.729746338[J/m^3/K]
# R/g_ep = 2.354830923353888e-07[1/s]
# Tc=220.0[K]
# T_Deb=232.0[K]
### pulse paramters ###
# peak power:1.3e+22[W/m^3]
# sigma=1.5e-14[s]
# delay=2e-10[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]
-200.0	1.0	230.0	230.0	0	0	0	0
-199.99	0.9996249578037206	230.0	230.0	0.0	0.0	0.0	0.0
-199.98	0.9992502870448622	230.0	230.0	0.0	0.0	0.0	0.0
-199.97	0.9988759871147939	230.0	230.0	0.0	0.0	0.0	0.0
-199.96	0.9985020574062609	230.0	230.0	0.0	0.0	0.0	0.0
-199.95	0.9981284973133804	230.0	230.0	0.0	0.0	0.0	0.0
-199.94	0.9977553062316398	230.0	230.0	0.0	0.0	0.0	0.0
-199.93	0.9973824835578875	230.0	230.0	0.0	0.0	0.0	0.0
-199.92	0.9970100286903347	230.0	230.0	0.0	0.0	0.0	0.0
-199.91	0.9966379410285482	230.0	230.0	0.0	0.0	0.0	0.0
-199.9	0.9962662199734486	230.0	230.0	0.0	0.0	0.0	0.0
-199.89	0.9958948649273037	230.0	230.0	0.0	0.0	0.0	0.0
-199.88	0.995523875293727	230.0	230.0	0.0	0.0	0.0	0.0
-199.87	0.9951532504776744	230.0	230.0	0.0	0.0	0.0	0.0
-199.86	0.9947829898854368	230.0	230.0	0.0	0.0	0.0	0.0
-199.85	0.9944130929246393	230.0	230.0	0.0	0.0	0.0	0.0
-199.84	0.9940435590042378	230.0	230.0	0.0	0.0	0.0	0.0
-199.83	0.9936743875345128	230.0	230.0	0.0	0.0	0.0	0.0
-199.82	0.9933055779270661	230.0	230.0	0.0	0.0	0.0	0.0
-199.81	0.9929371295948196	230.0	230.0	0.0	0.0	0.0	0.0
-199.8	0.9925690419520093	230.0	230.0	0.0	0.0	0.0	0.0
-199.79	0.9922013144141811	230.0	230.0	0.0	0.0	0.0	0.0
-199.78	0.9918339463981897	230.0	230.0	0.0	0.0	0.0	0.0
-199.77	0.991466937322191	230.0	230.0	0.0	0.0	0.0	0.0
-199.76	0.9911002866056438	230.0	230.0	0.0	0.0	0.0	0.0
-199.75	0.9907339936692989	230.0	230.0	0.0	0.0	0.0	0.0
-199.74	0.9903680579352026	230.0	230.0	0.0	0.0	0.0	0.0
-199.73	0.9900024788266879	230.0	230.0	0.0	0.0	0.0	0.0
-199.72	0.9896372557683741	230.0	230.0	0.0	0.0	0.0	0.0
-199.71	0.9892723881861604	230.0	230.0	0.0	0.0	0.0	0.0
-199.7	0.988907875507226	230.0	230.0	0.0	0.0	0.0	0.0
-199.69	0.9885437171600224	230.0	230.0	0.0	0.0	0.0	0.0
-199.68	0.9881799125742718	230.0	230.0	0.0	0.0	0.0	0.0
-199.67	0.9878164611809649	230.0	230.0	0.0	0.0	0.0	0.0
-199.66	0.9874533624123543	230.0	230.0	0.0	0.0	0.0	0.0
-199.65	0.9870906157019521	230.0	230.0	0.0	0.0	0.0	0.0
-199.64	0.986728220484528	230.0	230.0	0.0	0.0	0.0	0.0
-199.63	0.9863661761961036	230.0	230.0	0.0	0.0	0.0	0.0
-199.62	0.9860044822739501	230.0	230.0	0.0	0.0	0.0	0.0
-199.61	0.9856431381565846	230.0	230.0	0.0	0.0	0.0	0.0
-199.6	0.9852821432837655	230.0	230.0	0.0	0.0	0.0	0.0
-199.59	0.9849214970964907	230.0	230.0	0.0	0.0	0.0	0.0
-199.58	0.9845611990369929	230.0	230.0	0.0	0.0	0.0	0.0
-199.57	0.9842012485487369	230.0	230.0	0.0	0.0	0.0	0.0
-199.56	0.9838416450764149	230.0	230.0	0.0	0.0	0.0	0.0
-199.55	0.9834823880659453	230.0	230.0	0.0	0.0	0.0	0.0
-199.54	0.983123476964468	230.0	230.0	0.0	0.0	0.0	0.0
-199.53	0.9827649112203394	230.0	230.0	0.0	0.0	0.0	0.0
-199.52	0.9824066902831314	230.0	230.0	0.0	0.0	0.0	0.0
-199.51	0.9820488136036265	230.0	230.0	0.0	0.0	0.0	0.0
-199.5	0.9816912806338172	230.0	230.0	0.0	0.0	0.0	0.0
